title: 황금성 / 글래디에이터, title_en: Gladiator
title: 갱 버스터즈, title_en: Gang Busters
title: 은하 임협전, title_en: Ginga NinkyouDen
title: 갤러그 (빠른 총알 핵)), title_en: Galaga (fast shoot hack)
title: 딩고, title_en: Dingo
title: HAL21, title_en: HAL21
title: 건틀렛 (2인용), title_en: Gauntlet (2 players)
title: 오비트론, title_en: Orbitron
title: 체크맨, title_en: Check Man
title: 라이가 - 스트레토 파이터, title_en: Raiga - Strato Fighter
title: 4 펀 인 1, title_en: 4 Fun in 1
title: 스카이 베이스, title_en: Sky Base
title: 건틀렛, title_en: Gauntlet
title: 아즈리안 어택, title_en: Azurian Attack
title: 건 딜러, title_en: Gun Dealer
title: 문 에일리언 파트 2, title_en: Moon Alien Part 2
title: 지러스, title_en: Gyruss
title: 버섯미로 속의 벌레나 괴물같은 매누버들의 전쟁, title_en: War of the Bugs or Monsterous Manouvers in a Mushroom Maze
title: 고스트멍커 갤럭시안, title_en: Ghostmuncher Galaxian
title: 지그 재그, title_en: Zig Zag
title: 갈리반 - 코스모 폴리스, title_en: Galivan - Cosmo Police
title: 스쿼시, title_en: Squash
title: 드래곤 보울, title_en: Dragon Bowl
title: 건틀렛2, title_en: Gauntlet II
title: 그린베레, title_en: Green Beret
title: 그라디우스 III, title_en: Gradius III
title: 피시즈, title_en: Pisces
title: 유니워 S, title_en: UniWar S
title: 킹 & 벌룬, title_en: King & Balloon
title: 고인돌, title_en: Goindol
title: 얌! 얌!?, title_en: Yam! Yam!?
title: 붉은 UFO의 지구 공격으로부터의 방어, title_en: Defend the Terra Attack on the Red UFO
title: 미스터 고에몽, title_en: Mr. Goemon
title: 닌자 이마키, title_en: Ninja Emaki
title: 매니악 스퀘어, title_en: Maniac Square
title: 문 크레스타, title_en: Moon Cresta
title: 갤러그, title_en: Galaga
title: 마계촌, title_en: Ghosts'n Goblins
title: 슈퍼 제비우스, title_en: Super Xevious
title: 당가 - UFO 로보, title_en: Dangar - Ufo Robo
title: 빈디케이터즈 파트 II, title_en: Vindicators Part II
title: ASO - 아머드 스크럼 오브젝트, title_en: ASO - Armored Scrum Object
title: 골! '92, title_en: Goal! '92
title: 블랙홀, title_en: Black Hole
title: 제비우스, title_en: Xevious
title: 문 퀘이사, title_en: Moon Quasar
title: 다이아몬드 런, title_en: Diamond Run
title: 슈퍼 갤럭시안, title_en: Super Galaxian
title: GI 죠, title_en: G.I. Joe
title: 스크램블, title_en: Scramble
title: 점프 버그, title_en: Jump Bug
title: 문 셔틀, title_en: Moon Shuttle
title: 건 스모크, title_en: Gun.Smoke
title: 갤럭시안, title_en: Galaxian
title: 가플러스, title_en: Gaplus
title: 스노우 보드 선수권대회, title_en: Snow Board Championship
title: 보스코니안, title_en: Bosconian
title: 갤럭시안 파트 X, title_en: Galaxian Part X
title: 디그 더그, title_en: Dig Dug
